Female,Male,Cross_Type,Sex,Replica,Larva_No,Phenotype,Resistance_Phenotype,Infection_Date,Dissection_Date,Researcher,Comment
437,437,ResistantXResistant,Female,2,2,WL,Susceptible,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,2,3,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,2,4,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,2,5,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,2,6,WL,Susceptible,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,2,7,WL,Susceptible,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,2,8,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,2,9,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,2,10,C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,1,2C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,2,C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,3,C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,4,2C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,5,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,6,2C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,7,2C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,8,2C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,9,C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,2,10,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,1,C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,2,C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,3,3C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,4,C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,5,2C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,6,3C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,7,WL+3C,Susceptible,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,8,C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,9,WL+3C,Susceptible,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Female,2,10,2C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,1,C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,2,2C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,3,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,4,2C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,5,WL+3C,Susceptible,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,6,3C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,7,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,8,2C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,9,C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Male,2,10,C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,1,C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,2,7C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,3,3C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,4,3C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,5,C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,6,C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,7,2C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,8,2C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,9,3C,Resistant,2018_04_16,2018_04_18,NA,
589,589,ResistantXResistant,Female,2,10,2C,Resistant,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,2,1,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,2,2,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,2,3,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,2,4,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,2,5,WL,Susceptible,2018_04_16,2018_04_18,NA,
